Date,Stock Splits,Symbol
2018-03-19,2:1,AFL
2024-03-11,1:10,AFMD
1994-12-16,3:2,AGCO
1996-02-01,2:1,AGCO
2011-10-03,1:6,AGEN
2023-04-26,1019:1000,AGEN
2024-04-12,1:20,AGEN
2022-10-18,1:10,AGFY
2023-07-05,1:20,AGFY
1999-08-02,3:1,AGM
2023-10-11,1:50,AGRI
2022-04-27,1:40,AGRX
2023-04-11,1:50,AGRX
2001-10-09,1:15,AGX
1980-06-03,3:2,AGYS
1984-08-02,2:1,AGYS
1993-03-16,3:2,AGYS
1994-08-02,3:2,AGYS
1995-09-07,3:2,AGYS
2020-08-24,1:3,AHG
2023-06-30,1:4,AHI
2013-11-20,149:100,AHT
2014-11-13,1059:1000,AHT
2019-10-28,1012:1000,AHT
2020-07-16,1:10,AHT
2021-07-19,1:10,AHT
1981-05-28,3:2,AIG
1983-04-26,5:4,AIG
1986-11-18,2:1,AIG
1990-07-23,5:4,AIG
1993-07-30,3:2,AIG
1995-07-31,3:2,AIG
1997-07-28,3:2,AIG
1998-08-03,3:2,AIG
1999-08-02,5:4,AIG
2000-07-31,3:2,AIG
2009-07-01,1:20,AIG
2022-04-06,1:10,AIHS
2016-08-29,1:12,AIM
2019-06-11,1:44,AIM
2022-08-09,1:15,AIMD
2023-12-14,1:5,AIMD
1998-06-03,1005:1000,AIN
1998-09-02,1005:1000,AIN
1998-12-02,102:100,AIN
1999-12-08,102:100,AIN
1986-02-11,3:2,AIR
1987-10-27,3:2,AIR
1998-02-24,3:2,AIR
2010-10-14,1:400,AIRI
2022-10-18,1:10,AIRI
1994-05-16,1:5,AIRT
2019-06-11,3:2,AIRT
1988-06-06,3:2,AIT
1989-06-05,3:2,AIT
1995-12-05,3:2,AIT
1997-09-16,3:2,AIT
2004-12-20,3:2,AIT
2006-06-16,3:2,AIT
2022-01-24,1:25,AIU
2020-12-01,807:1000,AIV
2020-12-15,9295:1000,AIV
1986-07-16,2:1,AJG
2000-03-16,2:1,AJG
2001-01-19,2:1,AJG
2023-10-02,1:12,AKA
2023-03-09,1:10,AKAN
2024-05-23,1:40,AKAN
2015-09-17,1:10,AKTX
2023-08-17,1:20,AKTX
2019-10-21,1:20,ALAR
2022-11-08,1:10,ALAR
2007-03-02,2:1,ALB
2023-01-05,1:10,ALBT
1987-02-23,4:1,ALCO
1986-07-16,2:1,ALE
1999-03-03,2:1,ALE
2004-09-21,1:3,ALE
2019-11-15,1:15,ALIM
1980-11-17,105:100,ALK
1981-11-16,105:100,ALK
2012-03-19,2:1,ALK
2014-07-10,2:1,ALK
2000-05-15,2:1,ALKS
1998-07-02,2:1,ALL
2023-03-27,1:35,ALLR
2023-06-29,1:40,ALLR
2024-04-09,1:20,ALLR
2014-04-10,310:1,ALLY
1981-12-14,5:4,ALNT
1982-11-01,2:1,ALNT
1985-04-12,3:2,ALNT
2021-05-03,3:2,ALNT
1983-07-12,2:1,ALOT
1988-08-16,3:2,ALOT
1992-05-19,3:2,ALOT
